2025-09-01 16:45:51 | INFO     | govnomet.game   | 💩 Обработка броска: reppo_s (ID: 392905464) в чате -1002387143721
2025-09-01 16:45:51 | INFO     | govnomet.game   | ✅ Бросок обработан: splash -> 1 целей
2025-09-01 16:45:51 | INFO     | govnomet.database | 💩 Событие добавлено: 392905464 -> 113296569 (splash) в чате -1002387143721
2025-09-01 16:45:51 | INFO     | govnomet        | ✅ Бросок завершен: reppo_s -> splash -> 1 целей
2025-09-01 16:45:52 | INFO     | govnomet        | 💩 Кнопка броска нажата пользователем reppo_s (ID: 392905464) в чате -1002387143721
2025-09-01 16:45:52 | INFO     | govnomet.database | 👤 Пользователь 392905464 (@reppo_s) добавлен/обновлен в БД
2025-09-01 16:45:52 | INFO     | govnomet        | 👥 Используем 1 участников чата -1002387143721
2025-09-01 16:45:52 | INFO     | govnomet.game   | 💩 Обработка броска: reppo_s (ID: 392905464) в чате -1002387143721
2025-09-01 16:45:52 | INFO     | govnomet.game   | ✅ Бросок обработан: special -> 1 целей
2025-09-01 16:45:52 | INFO     | govnomet.database | 💩 Событие добавлено: 392905464 -> 113296569 (special) в чате -1002387143721
2025-09-01 16:45:52 | INFO     | govnomet        | ✅ Бросок завершен: reppo_s -> special -> 1 целей
2025-09-01 16:47:45 | INFO     | govnomet        | 💩 Кнопка броска нажата пользователем va_feel (ID: 1187121219) в чате -1002387143721
2025-09-01 16:47:45 | INFO     | govnomet.database | 👤 Пользователь 1187121219 (@va_feel) добавлен/обновлен в БД
2025-09-01 16:47:45 | INFO     | govnomet        | 👥 Используем 1 участников чата -1002387143721
2025-09-01 16:47:45 | INFO     | govnomet.game   | 💩 Обработка броска: va_feel (ID: 1187121219) в чате -1002387143721
2025-09-01 16:47:45 | INFO     | govnomet.game   | ✅ Бросок обработан: direct_hit -> 1 целей
2025-09-01 16:47:45 | INFO     | govnomet.database | 💩 Событие добавлено: 1187121219 -> 113296569 (direct_hit) в чате -1002387143721
2025-09-01 16:47:46 | INFO     | govnomet        | ✅ Бросок завершен: va_feel -> direct_hit -> 1 целей
2025-09-01 16:48:22 | INFO     | govnomet        | 📊 Команда /stats от пользователя va_feel (ID: 1187121219) в чате -1002387143721
2025-09-01 16:48:23 | INFO     | govnomet        | ✅ Статистика отправлена пользователю va_feel
2025-09-01 17:10:46 | INFO     | govnomet        | 👋 ГовноМёт завершает работу
2025-09-01 17:10:46 | INFO     | govnomet        | ⏰ Время завершения: 2025-09-01 17:10:46
2025-09-01 17:46:38 | INFO     | govnomet.database | ✅ База данных инициализирована успешно
2025-09-01 17:46:38 | INFO     | govnomet.game   | 🎮 Игровая логика ГовноМёт инициализирована
2025-09-01 17:46:38 | INFO     | govnomet        | 🚀 ГовноМёт запускается...
2025-09-01 17:46:38 | INFO     | govnomet        | 📁 Директория логов: /Users/yanagosteva/Desktop/Bot/govnomet/logs
2025-09-01 17:46:38 | INFO     | govnomet        | 📏 Максимальный размер лога: 2 МБ
2025-09-01 17:46:38 | INFO     | govnomet        | 🔄 Количество файлов бэкапа: 5
2025-09-01 17:46:38 | INFO     | govnomet        | ⏰ Время запуска: 2025-09-01 17:46:38
2025-09-01 17:46:38 | INFO     | govnomet        | 🤖 Бот ГовноМёт запущен и готов к работе! (попытка 1/5)
2025-09-01 17:46:59 | INFO     | govnomet        | 💩 Кнопка броска нажата пользователем YanaGos (ID: 113296569) в чате -1002387143721
2025-09-01 17:46:59 | INFO     | govnomet.database | 👤 Пользователь 113296569 (@YanaGos) добавлен/обновлен в БД
2025-09-01 17:46:59 | INFO     | govnomet        | 👥 В чате -1002387143721 всего участников: 5
2025-09-01 17:46:59 | WARNING  | govnomet        | ⚠️ Не удалось получить участников через API: 'Bot' object has no attribute 'get_chat_members'
2025-09-01 17:46:59 | INFO     | govnomet        | 📊 Используем данные из БД: 3 участников
2025-09-01 17:46:59 | INFO     | govnomet        | 👥 Используем 3 участников чата -1002387143721
2025-09-01 17:46:59 | INFO     | govnomet.game   | 💩 Обработка броска: YanaGos (ID: 113296569) в чате -1002387143721
2025-09-01 17:46:59 | INFO     | govnomet.game   | ✅ Бросок обработан: legendary -> 2 целей
2025-09-01 17:46:59 | INFO     | govnomet.database | 💩 Событие добавлено: 113296569 -> 1187121219 (legendary) в чате -1002387143721
2025-09-01 17:46:59 | INFO     | govnomet.database | 💩 Событие добавлено: 113296569 -> 392905464 (legendary) в чате -1002387143721
2025-09-01 17:46:59 | INFO     | govnomet        | ✅ Бросок завершен: YanaGos -> legendary -> 2 целей
2025-09-01 17:47:01 | INFO     | govnomet        | 💩 Кнопка броска нажата пользователем YanaGos (ID: 113296569) в чате -1002387143721
2025-09-01 17:47:01 | INFO     | govnomet.database | 👤 Пользователь 113296569 (@YanaGos) добавлен/обновлен в БД
2025-09-01 17:47:01 | INFO     | govnomet        | 👥 Используем 3 участников чата -1002387143721
2025-09-01 17:47:01 | INFO     | govnomet.game   | 💩 Обработка броска: YanaGos (ID: 113296569) в чате -1002387143721
2025-09-01 17:47:01 | INFO     | govnomet.game   | ✅ Бросок обработан: splash -> 2 целей
2025-09-01 17:47:01 | INFO     | govnomet.database | 💩 Событие добавлено: 113296569 -> 1187121219 (splash) в чате -1002387143721
2025-09-01 17:47:01 | INFO     | govnomet.database | 💩 Событие добавлено: 113296569 -> 392905464 (splash) в чате -1002387143721
2025-09-01 17:47:02 | INFO     | govnomet        | ✅ Бросок завершен: YanaGos -> splash -> 2 целей
2025-09-01 17:47:20 | INFO     | govnomet        | 💩 Команда /throw от пользователя YanaGos (ID: 113296569) в чате -1002387143721
2025-09-01 17:47:46 | INFO     | govnomet        | 💩 Команда /throw от пользователя YanaGos (ID: 113296569) в чате -1002387143721
2025-09-01 17:47:46 | INFO     | govnomet        | 🎯 Цель команды /throw: @va_feel
2025-09-01 17:47:46 | INFO     | govnomet.database | 👤 Пользователь 113296569 (@YanaGos) добавлен/обновлен в БД
2025-09-01 17:47:46 | INFO     | govnomet        | 👥 Используем 3 участников чата -1002387143721
2025-09-01 17:47:46 | INFO     | govnomet.game   | 💩 Целевой бросок: YanaGos (ID: 113296569) -> va_feel (ID: 1187121219) в чате -1002387143721
2025-09-01 17:47:46 | INFO     | govnomet.game   | ✅ Целевой бросок обработан: direct_hit -> va_feel
2025-09-01 17:47:46 | INFO     | govnomet.database | 💩 Событие добавлено: 113296569 -> 1187121219 (direct_hit) в чате -1002387143721
2025-09-01 17:47:47 | INFO     | govnomet        | ✅ Целевой бросок завершен: YanaGos -> va_feel -> direct_hit
2025-09-01 17:48:38 | INFO     | govnomet        | 💩 Кнопка броска нажата пользователем YanaGos (ID: 113296569) в чате -1002387143721
2025-09-01 17:48:38 | INFO     | govnomet.database | 👤 Пользователь 113296569 (@YanaGos) добавлен/обновлен в БД
2025-09-01 17:48:38 | INFO     | govnomet        | 👥 Используем 3 участников чата -1002387143721
2025-09-01 17:48:38 | INFO     | govnomet.game   | 💩 Обработка броска: YanaGos (ID: 113296569) в чате -1002387143721
2025-09-01 17:48:38 | INFO     | govnomet.game   | ✅ Бросок обработан: direct_hit -> 1 целей
2025-09-01 17:48:38 | INFO     | govnomet.database | 💩 Событие добавлено: 113296569 -> 1187121219 (direct_hit) в чате -1002387143721
2025-09-01 17:48:39 | INFO     | govnomet        | ✅ Бросок завершен: YanaGos -> direct_hit -> 1 целей
2025-09-01 17:50:05 | INFO     | govnomet        | 💩 Кнопка броска нажата пользователем reppo_s (ID: 392905464) в чате -1002387143721
2025-09-01 17:50:05 | INFO     | govnomet.database | 👤 Пользователь 392905464 (@reppo_s) добавлен/обновлен в БД
2025-09-01 17:50:05 | INFO     | govnomet        | 👥 В чате -1002387143721 всего участников: 5
2025-09-01 17:50:05 | WARNING  | govnomet        | ⚠️ Не удалось получить участников через API: 'Bot' object has no attribute 'get_chat_members'
2025-09-01 17:50:05 | INFO     | govnomet        | 📊 Используем данные из БД: 3 участников
2025-09-01 17:50:05 | INFO     | govnomet        | 👥 Используем 3 участников чата -1002387143721
2025-09-01 17:50:05 | INFO     | govnomet.game   | 💩 Обработка броска: reppo_s (ID: 392905464) в чате -1002387143721
2025-09-01 17:50:05 | INFO     | govnomet.game   | ✅ Бросок обработан: direct_hit -> 1 целей
2025-09-01 17:50:05 | INFO     | govnomet.database | 💩 Событие добавлено: 392905464 -> 1187121219 (direct_hit) в чате -1002387143721
2025-09-01 17:50:05 | INFO     | govnomet        | ✅ Бросок завершен: reppo_s -> direct_hit -> 1 целей
2025-09-01 17:50:09 | INFO     | govnomet        | 💩 Кнопка броска нажата пользователем reppo_s (ID: 392905464) в чате -1002387143721
2025-09-01 17:50:09 | INFO     | govnomet.database | 👤 Пользователь 392905464 (@reppo_s) добавлен/обновлен в БД
2025-09-01 17:50:09 | INFO     | govnomet        | 👥 Используем 3 участников чата -1002387143721
2025-09-01 17:50:09 | INFO     | govnomet.game   | 💩 Обработка броска: reppo_s (ID: 392905464) в чате -1002387143721
2025-09-01 17:50:09 | INFO     | govnomet.game   | ✅ Бросок обработан: direct_hit -> 1 целей
